Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mahmoud Abdul-Rauf\abdulma02,PG,28,SAC,31,0,17.1,3.3,8.8,0.377,0.2,1,0.161,3.2,7.8,0.405,0.386,0.5,0.5,1,0.2,1,1.2,1.9,0.5,0,0.6,1,7.3
2,Tariq Abdul-Wahad\abdulta01,SG,23,SAC,59,16,16.3,2.4,6.1,0.403,0.1,0.3,0.211,2.4,5.7,0.414,0.409,1.4,2.1,0.672,0.7,1.2,2,0.9,0.6,0.2,1.1,1.4,6.4
3,Shareef Abdur-Rahim\abdursh01,SF,21,VAN,82,82,36,8,16.4,0.485,0.3,0.6,0.412,7.7,15.8,0.488,0.493,6.1,7.8,0.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3
4,Cory Alexander\alexaco01,PG,24,TOT,60,22,21.6,2.9,6.7,0.428,1.1,2.9,0.375,1.8,3.7,0.469,0.51,1.3,1.7,0.784,0.3,2.2,2.4,3.5,1.2,0.2,1.9,1.6,8.1
4,Cory Alexander\alexaco01,PG,24,SAS,37,3,13.5,1.6,3.9,0.414,0.5,1.7,0.313,1.1,2.2,0.494,0.483,0.7,1,0.676,0.2,1.1,1.3,1.9,0.7,0.1,1.3,1.4,4.5
4,Cory Alexander\alexaco01,PG,24,DEN,23,19,34.7,4.8,11.1,0.435,2,4.9,0.411,2.8,6.2,0.455,0.525,2.4,2.8,0.846,0.4,3.9,4.3,6,2,0.3,2.8,2,14
5,Ray Allen*\allenra02,SG,22,MIL,82,82,40.1,6.9,16,0.428,1.6,4.5,0.364,5.2,11.5,0.453,0.479,4.2,4.8,0.875,1.5,3.4,4.9,4.3,1.4,0.1,3.2,3,19.5
6,Derek Anderson\anderde01,SF,23,CLE,66,13,27.9,3.6,8.9,0.408,0.3,1.3,0.202,3.4,7.6,0.442,0.422,4.2,4.8,0.873,0.8,2,2.8,3.4,1.3,0.2,1.9,2.1,11.7
7,Greg Anderson\andergr01,C,33,ATL,50,0,8,0.7,1.6,0.444,0,0.1,0,0.7,1.5,0.474,0.444,0.3,0.8,0.39,0.8,1.6,2.4,0.3,0.4,0.2,0.3,1.7,1.8
8,Kenny Anderson\anderke01,PG,27,TOT,61,56,30.5,4.4,11,0.398,0.9,2.6,0.356,3.5,8.4,0.411,0.44,2.5,3.2,0.789,0.6,2.2,2.8,5.7,1.4,0,2.3,2.2,12.2
8,Kenny Anderson\anderke01,PG,27,POR,45,40,32.7,4.5,11.7,0.387,1,3,0.353,3.5,8.8,0.398,0.432,2.5,3.2,0.772,0.8,2.2,3,5.4,1.4,0,2.5,2.2,12.6
8,Kenny Anderson\anderke01,PG,27,BOS,16,16,24.1,4,9.2,0.435,0.6,1.7,0.37,3.4,7.5,0.45,0.469,2.6,3.1,0.837,0.2,2.3,2.4,6.3,1.6,0,1.8,2.3,11.2
9,Nick Anderson\anderni01,SF,30,ORL,58,44,29.3,5.9,13,0.455,1.3,3.7,0.36,4.6,9.3,0.493,0.506,2.2,3.4,0.638,1.7,3.4,5.1,2.1,1.2,0.4,1.5,1.7,15.3
10,Shandon Anderson\andersh01,SG,24,UTA,82,2,19.5,3.3,6.1,0.538,0.1,0.4,0.219,3.2,5.7,0.56,0.545,1.7,2.3,0.735,1,1.7,2.8,1.1,0.8,0.2,1.1,1.8,8.3
11,Chris Anstey\anstech01,C,23,DAL,41,8,16.6,2.2,5.6,0.398,0.1,0.4,0.188,2.2,5.2,0.414,0.405,1.3,1.8,0.716,1.3,2.5,3.8,0.9,0.8,0.7,1,2.3,5.9
12,Greg Anthony\anthogr01,PG,30,SEA,80,0,12.8,1.9,4.4,0.43,0.8,2,0.415,1.1,2.4,0.442,0.524,0.7,1,0.663,0.2,1.2,1.4,2.6,0.8,0,1.1,1.2,5.2
13,B.J. Armstrong\armstbj01,PG,30,TOT,66,0,12.6,1.6,3.2,0.493,0.1,0.5,0.257,1.5,2.7,0.539,0.514,0.6,0.8,0.84,0.2,0.9,1.2,2.3,0.4,0,0.6,1.1,4
13,B.J. Armstrong\armstbj01,PG,30,GSW,4,0,14.8,1.5,4.8,0.316,0,0.3,0,1.5,4.5,0.333,0.316,1.3,1.8,0.714,1,0.8,1.8,1.5,1,0,1.8,1.5,4.3
